source,target
@jest/test-result,@types/istanbul-lib-coverage
@jest/test-result,collect-v8-coverage
safe-array-concat,call-bind
safe-array-concat,call-bound
safe-array-concat,get-intrinsic
safe-array-concat,has-symbols
safe-array-concat,isarray
prop-types,loose-envify
prop-types,object-assign
prop-types,react-is
@jest/console,@jest/types
@jest/console,@types/node
@jest/console,chalk
@jest/console,jest-message-util
@jest/console,jest-util
@jest/console,slash
@aws-sdk/middleware-user-agent,@aws-sdk/core
@aws-sdk/middleware-user-agent,@aws-sdk/types
@aws-sdk/middleware-user-agent,@aws-sdk/util-endpoints
@aws-sdk/middleware-user-agent,@smithy/core
@aws-sdk/middleware-user-agent,@smithy/protocol-http
@aws-sdk/middleware-user-agent,@smithy/types
@aws-sdk/middleware-user-agent,tslib
typed-array-byte-offset,available-typed-arrays
typed-array-byte-offset,call-bind
typed-array-byte-offset,for-each
typed-array-byte-offset,gopd
typed-array-byte-offset,has-proto
typed-array-byte-offset,is-typed-array
typed-array-byte-offset,reflect.getprototypeof
@opentelemetry/core,@opentelemetry/semantic-conventions
object.values,call-bind
object.values,call-bound
object.values,define-properties
object.values,es-object-atoms
set-function-name,define-data-property
set-function-name,es-errors
set-function-name,functions-have-names
set-function-name,has-property-descriptors
vite,fdir
vite,rollup
vite,esbuild
vite,postcss
vite,picomatch
vite,tinyglobby
array-includes,call-bind
array-includes,call-bound
array-includes,define-properties
array-includes,es-abstract
array-includes,es-object-atoms
array-includes,get-intrinsic
array-includes,is-string
array-includes,math-intrinsics
@aws-sdk/credential-provider-ini,@aws-sdk/core
@aws-sdk/credential-provider-ini,@aws-sdk/credential-provider-env
@aws-sdk/credential-provider-ini,@aws-sdk/credential-provider-http
@aws-sdk/credential-provider-ini,@aws-sdk/credential-provider-process
@aws-sdk/credential-provider-ini,@aws-sdk/credential-provider-sso
@aws-sdk/credential-provider-ini,@aws-sdk/credential-provider-web-identity
@aws-sdk/credential-provider-ini,@aws-sdk/nested-clients
@aws-sdk/credential-provider-ini,@aws-sdk/types
@aws-sdk/credential-provider-ini,@smithy/credential-provider-imds
@aws-sdk/credential-provider-ini,@smithy/property-provider
@aws-sdk/credential-provider-ini,@smithy/shared-ini-file-loader
@aws-sdk/credential-provider-ini,@smithy/types
@aws-sdk/credential-provider-ini,tslib
@aws-sdk/credential-provider-node,@aws-sdk/credential-provider-env
@aws-sdk/credential-provider-node,@aws-sdk/credential-provider-http
@aws-sdk/credential-provider-node,@aws-sdk/credential-provider-ini
@aws-sdk/credential-provider-node,@aws-sdk/credential-provider-process
@aws-sdk/credential-provider-node,@aws-sdk/credential-provider-sso
@aws-sdk/credential-provider-node,@aws-sdk/credential-provider-web-identity
@aws-sdk/credential-provider-node,@aws-sdk/types
@aws-sdk/credential-provider-node,@smithy/credential-provider-imds
@aws-sdk/credential-provider-node,@smithy/property-provider
@aws-sdk/credential-provider-node,@smithy/shared-ini-file-loader
@aws-sdk/credential-provider-node,@smithy/types
@aws-sdk/credential-provider-node,tslib
whatwg-encoding,iconv-lite
string-length,strip-ansi
@babel/helper-replace-supers,@babel/traverse
@babel/helper-replace-supers,@babel/helper-optimise-call-expression
@babel/helper-replace-supers,@babel/helper-member-expression-to-functions
@babel/helper-skip-transparent-expression-wrappers,@babel/types
@babel/helper-skip-transparent-expression-wrappers,@babel/traverse
@aws-sdk/util-user-agent-node,@aws-sdk/middleware-user-agent
@aws-sdk/util-user-agent-node,@aws-sdk/types
@aws-sdk/util-user-agent-node,@smithy/node-config-provider
@aws-sdk/util-user-agent-node,@smithy/types
@aws-sdk/util-user-agent-node,tslib
@typescript-eslint/eslint-plugin,@eslint-community/regexpp
@typescript-eslint/eslint-plugin,@typescript-eslint/scope-manager
@typescript-eslint/eslint-plugin,@typescript-eslint/type-utils
@typescript-eslint/eslint-plugin,@typescript-eslint/utils
@typescript-eslint/eslint-plugin,@typescript-eslint/visitor-keys
@typescript-eslint/eslint-plugin,graphemer
@typescript-eslint/eslint-plugin,ignore
@typescript-eslint/eslint-plugin,natural-compare
@typescript-eslint/eslint-plugin,ts-api-utils
@babel/helper-member-expression-to-functions,@babel/types
@babel/helper-member-expression-to-functions,@babel/traverse
@babel/helper-create-class-features-plugin,semver
@babel/helper-create-class-features-plugin,@babel/traverse
@babel/helper-create-class-features-plugin,@babel/helper-replace-supers
@babel/helper-create-class-features-plugin,@babel/helper-annotate-as-pure
@babel/helper-create-class-features-plugin,@babel/helper-optimise-call-expression
@babel/helper-create-class-features-plugin,@babel/helper-member-expression-to-functions
@babel/helper-create-class-features-plugin,@babel/helper-skip-transparent-expression-wrappers
jest-validate,@jest/get-type
jest-validate,@jest/types
jest-validate,camelcase
jest-validate,chalk
jest-validate,leven
jest-validate,pretty-format
arraybuffer.prototype.slice,array-buffer-byte-length
arraybuffer.prototype.slice,call-bind
arraybuffer.prototype.slice,define-properties
arraybuffer.prototype.slice,es-abstract
arraybuffer.prototype.slice,es-errors
arraybuffer.prototype.slice,get-intrinsic
arraybuffer.prototype.slice,is-array-buffer
typed-array-byte-length,call-bind
typed-array-byte-length,for-each
typed-array-byte-length,gopd
typed-array-byte-length,has-proto
typed-array-byte-length,is-typed-array
jest-resolve,chalk
jest-resolve,graceful-fs
jest-resolve,jest-haste-map
jest-resolve,jest-pnp-resolver
jest-resolve,jest-util
jest-resolve,jest-validate
jest-resolve,slash
jest-resolve,unrs-resolver
inquirer,rxjs
inquirer,run-async
inquirer,mute-stream
inquirer,@inquirer/ansi
inquirer,@inquirer/core
inquirer,@inquirer/type
inquirer,@inquirer/prompts
